date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:41	389618/389618	---M--	200	added ('OK')	image/jpg	etag:%226a0c5604474099ea44c1a3fc8d65254d%22	https://cdn-cms.f-static.net/uploads/4381915/800_5f8b16515d7c0.jpg	/home/sandeep/websites/ew/cdn-cms.f-static.net/uploads/4381915/800_5f8b16515d7c0.jpg	(from https://5f8b0d37172f1.site123.me/)
16:13:41	153939/153939	---M--	200	added ('OK')	image/jpg	etag:%22f0ee1230b7b3492e9e754b7cdeb1346d%22	https://cdn-cms.f-static.net/uploads/4381915/800_5f8b165538911.jpg	/home/sandeep/websites/ew/cdn-cms.f-static.net/uploads/4381915/800_5f8b165538911.jpg	(from https://5f8b0d37172f1.site123.me/)
16:13:41	16065/16065	---M--	200	added ('OK')	image/jpeg	etag:%223d78cc9a63330c8b680c879d39fcadfa%22	https://cdn-cms.f-static.net/uploads/4381915/400_5d1372ebd548e.jpg	/home/sandeep/websites/ew/cdn-cms.f-static.net/uploads/4381915/400_5d1372ebd548e.jpg	(from https://5f8b0d37172f1.site123.me/)
16:13:43	13/13	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Oct%202020%2010:43:43%20GMT	https://5f8b0d37172f1.site123.me/versions/2/wizard/orders/front/addToCart.php	/home/sandeep/websites/ew/5f8b0d37172f1.site123.me/versions/2/wizard/orders/front/addToCart.html	(from https://5f8b0d37172f1.site123.me/)
16:13:44	4582/4582	---M-Z	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2009:18:31%20GMT	http://cdn-cms-s.f-static.net/files/images/google_map_white_small.png?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/files/images/google_map_white_small8ab6.png	(from https://5f8b0d37172f1.site123.me/)
16:13:45	5686/5686	---M-Z	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2009:18:44%20GMT	http://cdn-cms-s.f-static.net/files/images/waze_white_small.png?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/files/images/waze_white_small8ab6.png	(from https://5f8b0d37172f1.site123.me/)
16:13:46	5821/5821	---M-Z	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2009:18:38%20GMT	http://cdn-cms-s.f-static.net/files/images/moovit_white_small.png?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/files/images/moovit_white_small8ab6.png	(from https://5f8b0d37172f1.site123.me/)
16:13:47	15292/15292	---M-Z	200	added ('OK')	image/png	date:Fri,%2026%20Jun%202020%2012:18:09%20GMT	http://cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Logo/Horizontal/PNG/Horizontal_Black.png?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Logo/Horizontal/PNG/Horizontal_Black8ab6.png	(from https://5f8b0d37172f1.site123.me/)
16:13:48	28565/28565	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202020%2010:43:48%20GMT	https://5f8b0d37172f1.site123.me/5f8b0d37172f1.site123.me	/home/sandeep/websites/ew/5f8b0d37172f1.site123.me/5f8b0d37172f1.site123.me	(from https://5f8b0d37172f1.site123.me/)
16:13:51	145443/145443	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2022%20Jul%202020%2008:04:16%20GMT	http://cdn-cms-s.f-static.net/versions/2/js/minimize_p1.js?v=r6915	/home/sandeep/websites/ew/cdn-cms-s.f-static.net/versions/2/js/minimize_p18ab6.js	(from https://5f8b0d37172f1.site123.me/)
